"Name","FMISID","LPNN","WMO","Lat","Lon","Elevation","Groups","Started",,,
"Kankaanpää Ylisenharju",107307,,,61.8,22.5,174,"radar",2021,,,
"Kitee Kesälahti",100690,,2995,61.9,29.8,174,"radar",2014,,,
"Kouvola Kaipiainen",101234,1615,2954,60.9,27.1,323,"radar",1994,,,
"Kuopio Rytky",101582,3613,2918,62.9,27.4,268,"radar",1995,,,
"Nurmes Mujejärvi Riihivaara",107131,,,63.8,29.4,294,"radar",2019,,,
"Parainen Rumar",100926,21,2933,60.1,21.6,61,"radar",1997,,,
"Petäjävesi Kintaus",103813,,2775,62.3,25.4,271,"radar",2015,,,
"Sodankylä Luosto",101939,7508,2840,67.1,26.9,532,"radar",2000,,,
"Utajärvi Korkiakangas",101872,6513,2870,64.8,26.3,118,"radar",1997,,,
"Vihti Ylimmäinen",107275,,,60.6,24.5,148,"radar",2021,,,
"Vimpeli Lakeaharju",101518,3217,2925,63.1,23.8,198,"radar",2005,,,
"Alajärvi Möksy",101533,3314,2787,63.1,24.3,171,"weather",1957,,,
"Asikkala Pulkkilanharju",101185,1434,2727,61.3,25.5,79,"weather",1991,,,
"Enontekiö Kilpisjärvi Saana",102017,9004,2701,69,20.9,1001,"weather",1991,,,
"Enontekiö Kilpisjärvi",102016,9003,2801,69,20.8,482,"weather",1951,,,
"Enontekiö Näkkälä",102019,9201,2726,68.6,23.6,375,"weather",1960,,,
"Enontekiö airport",101976,8208,2802,68.4,23.4,308,"weather",1999,,,
"Espoo Nuuksio",852678,344,2986,60.3,24.6,90,"weather",2014,,,
"Espoo Tapiola",874863,342,2985,60.2,24.8,6,"weather",2013,,,
"Hailuoto Keskikylä",101776,5301,2874,65,24.7,6,"weather",1950,,,
"Hammarland Märket",100919,14,2993,60.3,19.1,3,"weather",1885,,,
"Hanko Russarö",100932,101,2982,59.8,22.9,6,"weather",1881,,,
"Hanko Tulliniemi",100946,115,2746,59.8,22.9,10,"weather",1990,,,
"Hanko Tvärminne",100953,202,2750,59.8,23.2,3,"weather",1962,,,
"Hattula Lepaa",101151,1323,2704,61.1,24.3,87,"weather",1927,,,
"Heinola Asemantaus",101196,1506,2768,61.2,26,93,"weather",1908,,,
"Helsinki Harmaja",100996,330,2795,60.1,25,6,"weather",1989,,,
"Helsinki lighthouse",101003,337,2989,59.9,24.9,0,"weather",2003,,,
"Helsinki Kaisaniemi",100971,304,2978,60.2,24.9,3,"weather",1844,,,
"Helsinki Malmi airfield",101009,401,,60.3,25,15,"weather",1937,,,
"Helsinki Vuosaari Käärmeniementie",103943,,,60.2,25.2,9,"weather",2016,,,
"Helsinki Vuosaari harbour",151028,411,,60.2,25.2,2,"weather",2012,,,
"Hyvinkää Hyvinkäänkylä",101130,1302,2829,60.6,24.8,86,"weather",1930,,,
